time,numerical_0,numerical_1,exact_0,exact_1
3.72000000,0.40225781,-1.83105287,0.40225780,-1.83105288
3.73000000,0.38386805,-1.84677591,0.38386804,-1.84677592
3.74000000,0.36532475,-1.86176027,0.36532474,-1.86176028
3.75000000,0.34663533,-1.87599995,0.34663532,-1.87599995
3.76000000,0.32780725,-1.88948925,0.32780724,-1.88948925
3.77000000,0.30884806,-1.90222278,0.30884805,-1.90222278
3.78000000,0.28976533,-1.91419545,0.28976532,-1.91419545
3.79000000,0.27056670,-1.92540246,0.27056670,-1.92540247
3.80000000,0.25125985,-1.93583934,0.25125984,-1.93583934
3.81000000,0.23185250,-1.94550191,0.23185249,-1.94550191
3.82000000,0.21235241,-1.95438630,0.21235240,-1.95438631
3.83000000,0.19276738,-1.96248897,0.19276737,-1.96248897
3.84000000,0.17310525,-1.96980666,0.17310524,-1.96980667
3.85000000,0.15337387,-1.97633646,0.15337386,-1.97633647
3.86000000,0.13358115,-1.98207576,0.13358114,-1.98207576
3.87000000,0.11373500,-1.98702224,0.11373499,-1.98702225
3.88000000,0.09384336,-1.99117395,0.09384335,-1.99117395
3.89000000,0.07391418,-1.99452921,0.07391417,-1.99452921
3.90000000,0.05395543,-1.99708669,0.05395542,-1.99708669
3.91000000,0.03397510,-1.99884536,0.03397509,-1.99884536
3.92000000,0.01398119,-1.99980452,0.01398118,-1.99980452
3.93000000,-0.00601832,-1.99996378,-0.00601833,-1.99996378
3.94000000,-0.02601542,-1.99932308,-0.02601543,-1.99932308
3.95000000,-0.04600212,-1.99788268,-0.04600213,-1.99788268
3.96000000,-0.06597041,-1.99564316,-0.06597042,-1.99564316
3.97000000,-0.08591232,-1.99260540,-0.08591233,-1.99260540
3.98000000,-0.10581986,-1.98877063,-0.10581987,-1.98877063
3.99000000,-0.12568508,-1.98414038,-0.12568509,-1.98414038
4.00000000,-0.14550002,-1.97871650,-0.14550003,-1.97871649
4.01000000,-0.16525677,-1.97250115,-0.16525678,-1.97250115
4.02000000,-0.18494742,-1.96549684,-0.18494743,-1.96549683
4.03000000,-0.20456409,-1.95770635,-0.20456410,-1.95770634
4.04000000,-0.22409893,-1.94913280,-0.22409894,-1.94913280
4.05000000,-0.24354414,-1.93977963,-0.24354415,-1.93977962
4.06000000,-0.26289194,-1.92965057,-0.26289195,-1.92965056
4.07000000,-0.28213458,-1.91874967,-0.28213459,-1.91874967
4.08000000,-0.30126437,-1.90708131,-0.30126438,-1.90708130
4.09000000,-0.32027367,-1.89465013,-0.32027368,-1.89465012
4.10000000,-0.33915485,-1.88146112,-0.33915486,-1.88146111
4.11000000,-0.35790038,-1.86751955,-0.35790039,-1.86751954
4.12000000,-0.37650275,-1.85283100,-0.37650276,-1.85283099
4.13000000,-0.39495453,-1.83740134,-0.39495454,-1.83740133
4.14000000,-0.41324833,-1.82123674,-0.41324834,-1.82123673
4.15000000,-0.43137683,-1.80434368,-0.43137684,-1.80434367
4.16000000,-0.44933280,-1.78672890,-0.44933281,-1.78672889
4.17000000,-0.46710903,-1.76839945,-0.46710904,-1.76839944
4.18000000,-0.48469843,-1.74936267,-0.48469844,-1.74936266
4.19000000,-0.50209395,-1.72962616,-0.50209396,-1.72962615
4.20000000,-0.51928864,-1.70919783,-0.51928865,-1.70919782
4.21000000,-0.53627563,-1.68808584,-0.53627564,-1.68808583
4.22000000,-0.55304811,-1.66629864,-0.55304812,-1.66629863
4.23000000,-0.56959938,-1.64384494,-0.56959939,-1.64384493
4.24000000,-0.58592282,-1.62073372,-0.58592283,-1.62073371
4.25000000,-0.60201189,-1.59697424,-0.60201190,-1.59697423
4.26000000,-0.61786017,-1.57257598,-0.61786018,-1.57257597
4.27000000,-0.63346132,-1.54754872,-0.63346133,-1.54754871
