t,true_x,true_y,true_v,est_x,est_y,est_v,est_err,cte,steer_deg,accel
3.8,24.2349,6.74312,6.82622,22.7162,7.171,4.82229,1.57775,0.867953,30.023,0.0181672
3.82,24.3684,6.7146,6.82659,22.8095,7.14643,4.812,1.61758,0.790995,30.023,-1.14788
3.84,24.5024,6.69004,6.80363,22.9033,7.12464,4.79432,1.6572,0.705097,30.023,-1.11288
3.86,24.6367,6.66946,6.78137,22.9972,7.10567,4.77643,1.69652,0.593318,30.023,-1.07715
3.88,24.7711,6.65284,6.75983,23.0914,7.08948,4.75514,1.73554,0.497016,30.023,-1.03463
3.9,24.9055,6.64015,6.73913,23.1855,7.07607,4.73017,1.77433,0.426446,30.023,-1.41601
3.92,25.0397,6.63138,6.71081,23.2795,7.06544,4.70413,1.81289,0.395232,30.023,-1.36411
3.94,25.1736,6.62649,6.68353,23.3733,7.05758,4.68287,1.85115,0.290552,30.023,-1.32166
3.96,25.307,6.62543,6.6571,23.4668,7.05241,4.65814,1.88902,0.166399,30.023,-1.04211
3.98,25.4399,6.62816,6.63626,23.5599,7.04993,4.63937,1.92664,0.0847504,30.023,-1.00457
4,25.5722,6.63465,6.61617,25.0664,6.64336,6.36505,0.505922,0.15017,30.023,-1.38208
4.02,25.7039,6.64485,6.58852,25.1933,6.6532,6.33569,0.510644,0.270952,30.023,-1.32357
4.04,25.8346,6.65869,6.56205,25.3193,6.66656,6.30984,0.515398,0.220612,30.023,-1.27192
4.06,25.9644,6.67614,6.53661,25.4444,6.68338,6.27976,0.520133,0.234351,30.023,-1.21186
4.08,26.0932,6.69713,6.51238,25.5683,6.70359,6.26557,0.524951,0.306061,30.023,-1.18351
4.1,26.2209,6.72161,6.48871,25.6914,6.72724,6.24994,0.529561,0.405637,30.023,0.314453
4.12,26.3477,6.7496,6.495,25.8134,6.75417,6.25489,0.53427,0.496471,30.023,0.304942
4.14,26.4738,6.78112,6.50109,25.9348,6.78454,6.25953,0.538979,0.513386,30.023,0.295678
4.16,26.599,6.81618,6.50701,26.0553,6.81831,6.26305,0.543687,0.557566,30.023,0.288641
4.18,26.7234,6.85475,6.51278,26.175,6.85543,6.26955,0.5484,0.623276,30.023,0.275667
4.2,26.8467,6.8968,6.51829,25.48,7.9205,5.05952,1.70763,0.704529,30.023,3
4.22,26.9694,6.94252,6.57829,25.5699,7.96689,5.12938,1.73439,0.75146,30.023,3
4.24,27.0919,6.99212,6.63829,25.6597,8.01643,5.18195,1.76082,0.781359,30.023,3
4.26,27.2141,7.04566,6.69829,25.749,8.06908,5.22711,1.78714,0.828562,30.023,3
4.28,27.3357,7.1032,6.75829,25.8375,8.12471,5.28733,1.81332,0.890739,30.023,3
4.3,27.4567,7.16478,6.81829,25.9254,8.18356,5.34735,1.83929,0.942602,30.023,3
4.32,27.5769,7.23043,6.87829,26.0125,8.24561,5.40646,1.86497,0.963036,30.023,3
4.34,27.6962,7.3002,6.93829,26.0987,8.3109,5.46724,1.89037,0.998529,30.023,3
4.36,27.8143,7.37412,6.99829,26.1838,8.37945,5.53758,1.91548,1.0479,30.023,3
4.38,27.9312,7.45221,7.05829,26.268,8.45144,5.58585,1.94025,1.08049,30.023,3
4.4,28.0466,7.53449,7.11829,27.7734,10.3906,7.59803,2.86911,1.0931,21.0395,0.0397542
4.42,28.1604,7.62004,7.11909,27.8488,10.5225,7.59782,2.91915,1.12029,21.0395,0.0396285
4.44,28.2725,7.70788,7.11988,27.9215,10.656,7.59775,2.96892,1.16169,21.0395,0.0397861
4.46,28.3827,7.79799,7.12068,27.9914,10.7909,7.60012,3.01837,1.16454,21.0395,0.0350489
4.48,28.4912,7.89033,7.12138,28.0586,10.9272,7.60575,3.06756,1.17438,19.2056,-0.223033
4.5,28.5978,7.98472,7.11692,28.1231,11.065,7.6046,3.11663,1.19847,19.2056,-0.220792
4.52,28.7025,8.081,7.1125,28.185,11.2039,7.6045,3.16549,1.21203,19.2056,-0.220598
4.54,28.8055,8.17912,7.10809,28.2445,11.3439,7.60065,3.21412,1.20616,19.2056,-0.21292
4.56,28.9065,8.27905,7.10383,28.3013,11.4849,7.602,3.26248,1.21441,19.4646,-0.14956
4.58,29.0057,8.38077,7.10084,28.3555,11.6269,7.60644,3.31061,1.23325,19.4646,-0.15841
4.6,29.1029,8.48428,7.09767,28.8944,12.2429,8.44466,3.76438,1.21187,23.2418,-1.63371
4.62,29.1977,8.58949,7.065,28.9431,12.4046,8.40616,3.82361,1.20401,29.3366,-1.66765
4.64,29.2893,8.69663,7.03164,28.9879,12.5667,8.36676,3.88176,1.20903,29.3366,-1.589
4.66,29.3773,8.80589,6.99986,29.0277,12.7292,8.34247,3.93885,1.18416,29.3366,-1.54048
4.68,29.4617,8.91718,6.96905,29.0626,12.8923,8.31117,3.99515,1.15562,29.3366,-1.47798
4.7,29.5425,9.03037,6.9395,29.0927,13.0558,8.277,4.0505,1.13953,-24.0334,-2.31652
4.72,29.6226,9.14319,6.89316,29.118,13.2194,8.23578,4.10733,1.11939,-24.0334,-2.23443
4.74,29.7046,9.25343,6.84848,29.1468,13.3816,8.19481,4.16567,1.07826,-24.0334,-2.1526
4.76,29.7885,9.3611,6.80542,29.1792,13.5423,8.15707,4.22534,1.05674,-24.0334,-2.07723
4.78,29.8744,9.4662,6.76388,29.2149,13.7014,8.11195,4.28627,1.05566,-16.8828,-3.64475
4.8,29.9614,9.56879,6.69098,29.836,12.6912,7.39069,3.1249,1.0185,-16.8828,-2.20507
4.82,30.0492,9.66918,6.64688,29.9006,12.8241,7.34766,3.15846,0.990431,-16.8828,-2.1188
4.84,30.138,9.76761,6.60451,29.9667,12.9554,7.29653,3.19234,0.981858,-16.8828,-2.01669
4.86,30.2276,9.8641,6.56417,30.0343,13.0847,7.25366,3.22635,0.977671,-16.8828,-1.93107
4.88,30.3181,9.95869,6.52555,30.1034,13.2122,7.2132,3.26061,0.93786,-16.8828,-1.85028
4.9,30.4094,10.0514,6.48855,30.174,13.338,7.17924,3.29506,0.917179,-8.84886,-3.80313
4.92,30.5009,10.1423,6.41248,30.2461,13.4622,7.09358,3.3297,0.916089,-8.84886,-3.63259
4.94,30.5921,10.2315,6.33983,30.3182,13.5844,7.02836,3.36409,0.912621,-0.0143504,-5
4.96,30.6823,10.3191,6.23983,30.3905,13.705,6.9274,3.39836,0.874315,-0.0143504,-5
4.98,30.7711,10.4054,6.13983,30.4618,13.8238,6.83889,3.43233,0.853209,-0.0143504,-4.92736
5,30.8585,10.4903,6.04128,29.138,13.4382,5.1354,3.4133,0.849711,-0.0143504,-1.52614
5.02,30.945,10.5742,6.01076,29.1798,13.532,5.11982,3.44449,0.863321,-0.0143504,-1.49418
5.04,31.031,10.6578,5.98088,29.2214,13.6256,5.08754,3.47598,0.82341,-0.0143504,-1.42972
5.06,31.1166,10.7409,5.95228,29.2628,13.7185,5.05493,3.50753,0.794751,-0.0143504,-1.3646
5.08,31.2018,10.8236,5.92499,29.304,13.8109,5.02009,3.53913,0.783424,-0.0143504,-1.29502
