t,x,y,v,theta,cte,steer_deg,accel
4.44,25.4009,0.297231,5.50207,0.402894,5.52584,30.023,-2.9577
4.46,25.5011,0.34132,5.44292,0.426319,5.51543,30.023,-2.83956
4.48,25.5992,0.387239,5.38613,0.449497,5.50474,30.023,-2.72614
4.5,25.6952,0.434912,5.33161,0.472436,5.49378,30.023,-2.61725
4.52,25.7891,0.484266,5.27926,0.495147,5.48256,30.023,-2.51272
4.54,25.881,0.535233,5.22901,0.517638,5.47108,30.023,-2.41235
4.56,25.9709,0.587747,5.18076,0.539918,5.4518,30.023,-2.08584
4.58,26.0588,0.64177,5.13904,0.562006,5.43069,30.023,-2.00247
4.6,26.1448,0.697272,5.09899,0.583918,5.4094,30.023,-1.92248
4.62,26.229,0.754198,5.06054,0.605663,5.38794,30.023,-1.84569
4.64,26.3112,0.812499,5.02363,0.627246,5.36631,30.023,-1.77197
4.66,26.3917,0.872124,4.98819,0.648675,5.34452,30.023,-1.7012
4.68,26.4702,0.933027,4.95417,0.669955,5.32258,30.023,-1.63325
4.7,26.547,0.995163,4.9215,0.691092,5.30049,30.023,-1.56801
4.72,26.6219,1.05849,4.89014,0.712092,5.27826,30.023,-1.50538
4.74,26.6951,1.12296,4.86003,0.73296,5.25589,30.023,-1.44525
4.76,26.7664,1.18855,4.83113,0.753702,5.2334,30.023,-1.38753
4.78,26.836,1.2552,4.80338,0.774323,5.20527,30.023,-0.638618
4.8,26.9039,1.32298,4.7906,0.794857,5.1737,30.023,-0.612929
4.82,26.9702,1.39197,4.77835,0.815338,5.14193,30.023,-0.588447
4.84,27.0349,1.46211,4.76658,0.835767,5.10999,30.023,-0.564943
4.86,27.0981,1.53339,4.75528,0.856147,5.07786,30.023,-0.542378
4.88,27.1596,1.60577,4.74443,0.876479,5.04557,30.023,-0.520714
4.9,27.2195,1.67922,4.73402,0.896766,5.01312,30.023,-0.499916
4.92,27.2778,1.75371,4.72402,0.917009,4.98051,30.023,-0.479948
4.94,27.3344,1.82921,4.71442,0.93721,4.94775,30.023,-0.460778
4.96,27.3894,1.90568,4.7052,0.957371,4.91486,30.023,-0.442373
4.98,27.4428,1.98309,4.69636,0.977494,4.88183,30.023,-0.424704
5,27.4944,2.06142,4.68786,0.997579,4.84177,30.023,0.642424
5.02,27.5446,2.14081,4.70071,1.01767,4.79943,30.023,0.617039
5.04,27.5932,2.2214,4.71305,1.03782,4.75676,-8.34276,0.592394
5.06,27.6414,2.30256,4.7249,1.0327,4.71484,-8.34276,0.568732
5.08,27.6901,2.38368,4.73627,1.02756,4.67479,-8.34276,0.546016
5.1,27.7393,2.46474,4.74719,1.02241,4.63668,-8.34276,0.524207
5.12,27.7891,2.54572,4.75768,1.01724,4.60059,-8.34276,0.503269
5.14,27.8393,2.62662,4.76774,1.01207,4.56658,-8.34276,0.483167
5.16,27.8901,2.70742,4.77741,1.00689,4.53472,-8.34276,0.463868
5.18,27.9415,2.78812,4.78668,1.00169,4.50508,-8.34276,0.44534
5.2,27.9933,2.86871,4.79559,0.996487,4.46847,-12.8053,1.75184
5.22,28.0459,2.94931,4.83063,0.988383,4.43299,-12.8053,1.68222
5.24,28.0996,3.03006,4.86427,0.980222,4.39983,-12.8053,1.61503
5.26,28.1543,3.11091,4.89657,0.972005,4.36913,-12.8053,1.55052
5.28,28.21,3.19183,4.92758,0.963735,4.34101,-12.8053,1.48859
5.3,28.2667,3.27278,4.95736,0.955414,4.31558,-12.8053,1.42913
5.32,28.3245,3.35374,4.98594,0.947043,4.29296,-12.8053,1.37205
5.34,28.3832,3.43465,5.01338,0.938625,4.27324,-12.8053,1.31724
5.36,28.443,3.5155,5.03972,0.930163,4.24872,-16.7839,2.73138
5.38,28.504,3.59641,5.09435,0.918842,4.22309,-16.7839,2.62266
5.4,28.5666,3.67746,5.1468,0.907402,4.20066,-16.7839,2.51791
5.42,28.6308,3.75859,5.19716,0.895847,4.1816,-16.7839,2.41734
5.44,28.6965,3.83973,5.24551,0.884182,4.16608,-16.7839,2.32078
5.46,28.7638,3.92083,5.29193,0.87241,4.15424,-16.7839,2.22809
5.48,28.8326,4.00183,5.33649,0.860538,4.14624,-16.7839,2.13909
5.5,28.9029,4.08265,5.37927,0.848567,4.13226,-20.2893,3
5.52,28.975,4.1633,5.43927,0.833754,4.11892,-20.2893,3
5.54,29.0492,4.24374,5.49927,0.818776,4.10991,-20.2893,3
5.56,29.1253,4.32393,5.55927,0.803634,4.10541,-20.2893,3
5.58,29.2035,4.4038,5.61927,0.788328,4.10559,-20.2893,2.9368
5.6,29.2838,4.4833,5.678,0.772859,4.1106,-20.2893,2.8195
5.62,29.3661,4.56234,5.73439,0.757233,4.10838,-23.2803,3
5.64,29.4506,4.64076,5.79439,0.738861,4.10926,-23.2803,3
5.66,29.5375,4.7184,5.85439,0.720298,4.11558,-23.2803,3
5.68,29.6266,4.79519,5.91439,0.701544,4.12748,-23.2803,3
5.7,29.7182,4.87106,5.97439,0.682598,4.14508,-23.2803,3
5.72,29.8121,4.94592,6.03439,0.663461,4.15803,-25.9103,3
5.74,29.9084,5.01956,6.09439,0.641639,4.17302,-25.9103,3
