t,p6_x,p6_y,p6_v,p6_cte,p6_he,p6_ve,p6_steer_deg,p6_accel,p6_v_ref,p4_x,p4_y,p4_v,p4_cte,p4_he,p4_steer_deg
2.14,12.8007,11.5771,8,0.00030302,-0.00174628,0,-5.89277,-0,8,12.7952,11.5834,8,0.0086462,-0.0004854,-5.76165
2.16,12.9318,11.6687,8,0.000653434,-0.00547461,0,-3.60006,-0,8,12.9263,11.6753,8,0.009197,-0.00423061,-3.61631
2.18,13.0632,11.76,8,0.000535882,-0.00759586,0,-2.05009,-0,8,13.0575,11.7667,8,0.00927041,-0.00645283,-2.14758
2.2,13.195,11.8507,8,0.000917385,-0.00241205,0,-6.36674,-0,8,13.1892,11.8576,8,0.00983545,-0.00112449,-6.22868
2.22,13.3273,11.9407,8,0.00118664,-0.00638703,0,-3.83753,-0,8,13.3214,11.9478,8,0.0103095,-0.00511441,-3.85191
2.24,13.4601,12.03,8,0.000671704,-0.00155338,0,-7.243,-0,8,13.4541,12.0372,8,0.0100016,-7.72003e-05,-7.04923
2.26,13.5934,12.1184,8,0.00107791,-0.00612125,0,-4.4078,-0,8,13.5873,12.1258,8,0.0106443,-0.00464191,-4.40476
2.28,13.7271,12.2064,8,0.000911822,-0.00870706,0,-2.49855,-0,8,13.7208,12.214,8,0.0107063,-0.00733485,-2.60193
2.3,13.8612,12.2937,8,0.00112431,-0.00308051,0,-7.05263,-0,8,13.8548,12.3015,8,0.0111363,-0.00154452,-6.89662
2.32,13.9958,12.3802,8,0.00135118,-0.00744792,0,-4.21508,-0,8,13.9892,12.3882,8,0.0116071,-0.005935,-4.23726
2.34,14.1309,12.4659,8,0.000733966,-0.00213691,0,-7.93971,-0,8,14.1242,12.4741,8,0.0112321,-0.000400005,-7.72718
2.36,14.2666,12.5507,8,0.00111431,-0.00711097,0,-4.79801,-0,8,14.2598,12.5591,8,0.0118899,-0.00537962,-4.80334
2.38,14.4026,12.6349,8,0.000873878,-0.00989672,0,-2.69147,-0,8,14.3957,12.6436,8,0.011916,-0.00829596,-2.81744
2.4,14.5391,12.7184,8,0.00124241,-0.00377768,0,-7.78393,-0,8,14.532,12.7273,8,0.0125341,-0.00199776,-7.61381
2.42,14.6761,12.801,8,0.00142836,-0.00856489,0,-4.61857,-0,8,14.6689,12.8101,8,0.0130022,-0.00681819,-4.65047
2.44,14.8137,12.8827,8,0.00106394,-0.00291388,0,-8.86197,-0,8,14.8063,12.8921,8,0.0129128,-0.000916856,-8.62553
2.46,14.9519,12.9633,8,0.00138653,-0.00841331,0,-5.30202,-0,8,14.9443,12.973,8,0.013554,-0.00642778,-5.31305
2.48,15.0907,13.0429,8,0.00017659,-0.002394,0,-9.1737,-0,8,15.083,13.0529,8,0.0126549,-0.000136551,-8.91728
2.5,15.2301,13.1214,8,0.000620464,-0.00813847,0,-5.53683,-0,8,15.2222,13.1317,8,0.0134584,-0.00590049,-5.55548
2.52,15.3699,13.1993,8,0.00034753,-0.0113541,0,-3.10607,-0,8,15.3618,13.2099,8,0.0135295,-0.00929191,-3.27547
2.54,15.5101,13.2764,8,0.000541477,-0.0042718,0,-8.85744,-0,8,15.5018,13.2872,8,0.0140358,-0.00200979,-8.66876
2.56,15.6509,13.3524,8,0.000768474,-0.00972255,0,-5.25535,-0,8,15.6425,13.3636,8,0.0146201,-0.00751924,-5.31163
2.58,15.7923,13.4272,7.99947,0.00043885,-0.00330973,0.00805494,-10.1995,-0.0262902,7.99142,15.7837,13.4388,8,0.0146269,-0.000817808,-9.92861
2.6,15.9343,13.5009,7.99898,0.000812442,-0.00963287,0.00756136,-6.09118,-0.0246792,7.99142,15.9256,13.5128,8,0.0153969,-0.00717101,-6.11932
2.62,16.077,13.5733,7.99641,-0.000174908,-0.00299251,0.0394372,-10.7258,-0.128718,7.95697,16.068,13.5856,8,0.0147839,-0.00021438,-10.4273
2.64,16.2202,13.6444,7.99399,0.000285921,-0.00966847,0.0370206,-6.43149,-0.12083,7.95697,16.2112,13.6571,8,0.0156864,-0.0069295,-6.46505
2.66,16.3637,13.7147,7.99172,-8.3146e-05,-0.0133738,0.0347521,-3.5811,-0.113426,7.95697,16.3547,13.7278,8,0.0157373,-0.0108591,-3.79385
2.68,16.5077,13.7839,7.98432,0.000828804,-0.00566191,0.113357,-10.5016,-0.369981,7.87096,16.4987,13.7976,8,0.0170242,-0.00292382,-10.2772
2.7,16.6522,13.8518,7.97738,0.000954324,-0.012033,0.106411,-6.15103,-0.347309,7.87096,16.6433,13.866,8,0.0175811,-0.00938254,-6.22016
2.72,16.7971,13.9183,7.96193,0.0015499,-0.00530584,0.236551,-12.2357,-0.77207,7.72538,16.7885,13.9331,8,0.0185889,-0.00234268,-11.9015
2.74,16.9423,13.9831,7.94744,0.00171915,-0.0127081,0.222056,-7.16021,-0.72476,7.72538,16.9345,13.9988,8,0.0192281,-0.0098085,-7.18062
2.76,17.0879,14.0463,7.92189,0.00182132,-0.00586416,0.391335,-12.9964,-1.27726,7.53056,17.081,14.0629,8,0.0198119,-0.00266172,-12.6152
2.78,17.2337,14.1077,7.89791,0.00194162,-0.013661,0.367355,-7.57983,-1.19899,7.53056,17.2283,14.1255,8,0.0204391,-0.010545,-7.57763
2.8,17.3796,14.1673,7.86217,0.00158904,-0.0063037,0.547594,-13.4525,-1.78727,7.31457,17.3762,14.1864,8,0.0206683,-0.0029566,-13.046
2.82,17.5255,14.225,7.82861,0.00169532,-0.014322,0.514039,-7.85584,-1.67775,7.31457,17.5248,14.2458,8,0.0213023,-0.0110982,-7.8229
2.84,17.6713,14.2808,7.78378,0.00098264,-0.00636191,0.686881,-13.8901,-2.24188,7.09689,17.674,14.3035,8,0.0213153,-0.00302701,-13.4646
2.86,17.8169,14.3347,7.74169,0.00113559,-0.0146114,0.644791,-8.16422,-2.10451,7.09689,17.8239,14.3595,8,0.0219936,-0.0114375,-8.07791
2.88,17.9623,14.3866,7.68934,0.000148884,-0.00606705,0.80197,-14.4084,-2.61752,6.88737,17.9744,14.4138,8,0.0219385,-0.00295079,-13.9687
2.9,18.1072,14.4364,7.64019,0.000398512,-0.0146097,0.752828,-8.55666,-2.45712,6.88737,18.1256,14.4663,8,0.0226819,-0.0116903,-8.38946
2.92,18.2517,14.4842,7.58175,-0.000803665,-0.00552049,0.895235,-15.0246,-2.92192,6.68652,18.2773,14.5169,8,0.0226985,-0.00288315,-14.5805
2.94,18.3957,14.53,7.5269,-0.000425219,-0.014418,0.840378,-9.03455,-2.74287,6.68652,18.4297,14.5657,8,0.0235027,-0.0120123,-8.7578
2.96,18.5392,14.5736,7.46363,-0.0018121,-0.00481188,0.969166,-15.7258,-3.16322,6.49447,18.5827,14.6126,8,0.0237197,-0.0029779,-15.294
2.98,18.6819,14.615,7.40424,-0.00128707,-0.0141096,0.909778,-9.58377,-2.96939,6.49447,18.7363,14.6575,8,0.0245569,-0.0125416,-9.16781
3,18.8239,14.6551,7.3485,-0.00184082,-0.0193815,0.85403,-5.51109,-2.78743,6.49447,18.8904,14.7003,8,0.0250951,-0.00336372,-16.0955
3.02,18.9651,14.6935,7.28494,-0.000167386,-0.00826991,0.973611,-15.6326,-3.17773,6.31133,19.0451,14.7411,8,0.0259179,-0.0133887,-9.6019
3.04,19.1056,14.7298,7.22528,-5.52979e-05,-0.0172225,0.913951,-9.45784,-2.98301,6.31133,19.2004,14.7796,8,0.026894,-0.0041423,-16.9712
3.06,19.2453,14.764,7.15861,0.00163905,-0.00779575,1.02137,-18.5767,-3.33359,6.13724,19.3562,14.816,8,0.0276398,-0.0146386,-10.0443
3.08,19.3843,14.7959,7.09602,0.00178133,-0.0183113,0.958779,-11.2646,-3.12932,6.13724,19.5126,14.85,8,0.0291688,-0.00539321,-17.9094
3.1,19.5224,14.8254,7.02717,0.00311486,-0.00900888,1.05482,-20.0534,-3.44277,5.97235,19.6694,14.8817,8,0.0297629,-0.0163569,-10.4819
3.12,19.6596,14.8526,6.96253,0.00311482,-0.020168,0.990181,-12.1541,-3.23181,5.97235,19.8267,14.9109,8,0.0319592,-0.00717937,-18.9
3.14,19.7959,14.8774,6.89232,0.0039941,-0.0103349,1.07553,-20.9374,-3.51036,5.8168,19.9845,14.9376,8,0.0323172,-0.0185948,-10.9036
3.16,19.9312,14.8999,6.82642,0.00386423,-0.0218078,1.00962,-12.724,-3.29526,5.8168,20.1426,14.9617,8,0.0352949,-0.00955097,-19.9337
3.18,20.0655,14.92,6.7556,0.00429244,-0.0112209,1.08486,-21.6308,-3.54084,5.67074,20.3013,14.9821,8,0.0356197,-0.00449515,-24.1238
3.2,20.1988,14.9379,6.68913,0.00410195,-0.0229277,1.01838,-13.2299,-3.32386,5.67074,20.4604,14.9991,8,0.036329,-0.019003,-13.7566
3.22,20.331,14.9534,6.61836,0.00409721,-0.0115393,1.08403,-22.2909,-3.53813,5.53433,20.6198,15.0132,8,0.0369058,-0.00945636,-21.285
3.24,20.462,14.9667,6.55194,0.00392185,-0.0234878,1.01761,-13.7638,-3.32132,5.53433,20.7794,15.0244,8,0.0370511,-0.022115,-12.058
3.26,20.5919,14.9777,6.48182,0.00348869,-0.0113084,1.0741,-22.9625,-3.50571,5.40772,20.9392,15.0327,8,0.0388309,-0.0115669,-21.293
3.28,20.7205,14.9866,6.416,0.00339541,-0.0235256,1.00828,-14.3461,-3.29089,5.40772,21.0991,15.0383,8,0.0387271,-0.0241057,-11.9472
3.3,20.848,14.9932,6.34707,0.00251863,-0.0105766,1.056,-23.6437,-3.44664,5.29107,21.2591,15.0408,8,0.0419992,-0.0138132,-22.3161
3.32,20.9742,14.9977,6.28236,0.00256377,-0.0230833,0.991294,-14.9695,-3.23544,5.29107,21.419,15.039,8,0.0427789,-0.00870628,-27.1814
3.34,21.0992,15,6.21509,0.00121048,-0.00938168,1.03058,-24.3155,-3.36367,5.18451,21.5789,15.0335,8,0.0430105,-0.0245941,-15.0084
3.36,21.2228,15.0003,6.15194,0.0014422,-0.0221855,0.967429,-15.6176,-3.15755,5.18451,21.7387,15.0246,8,0.0445502,-0.0145303,-23.9596
3.38,21.3452,14.9984,6.08675,-0.000433847,-0.00774149,0.998576,-24.955,-3.25921,5.08818,21.8982,15.0125,8,0.04408,-0.0283537,-13.1305
3.4,21.4663,14.9945,6.02556,2.74723e-05,-0.0208366,0.937387,-16.2729,-3.0595,5.08818,22.0575,14.9972,8,0.0473446,-0.0175885,-24.0285
3.42,21.5861,14.9894,5.96812,-0.000786753,-0.0289366,0.879946,-10.3341,-2.87202,5.08818,22.2162,14.9771,8,0.0481853,-0.0126049,-29.0408
3.44,21.7047,14.9827,5.90893,0.000309804,-0.0116508,0.906739,-23.4834,-2.95947,5.00219,22.3744,14.9532,8,0.0479124,-0.0291783,-15.6251
