time,euler_pos,rk4_pos,exact_pos,euler_energy,rk4_energy
28.80000000,270.88718231,0.49700874,0.49641499,160928.03697052,1.99949062
28.90000000,254.05370027,0.31473874,0.31405781,167365.15844934,1.99948886
29.00000000,226.38473094,0.11992160,0.11918014,174059.76478731,1.99948709
29.10000000,188.55361359,-0.07967614,-0.08044888,181022.15537881,1.99948532
29.20000000,141.66710700,-0.27609735,-0.27687065,188263.04159396,1.99948355
29.30000000,87.23845588,-0.46151154,-0.46225446,195793.56325772,1.99948178
29.40000000,27.14312047,-0.62852706,-0.62920964,203625.30578803,1.99948001
29.50000000,-36.44175318,-0.77048571,-0.77108022,211770.31801955,1.99947825
29.60000000,-101.11235164,-0.88172821,-0.88221027,220241.13074033,1.99947648
29.70000000,-164.32527997,-0.95781983,-0.95816938,229050.77596994,1.99947471
29.80000000,-223.49371424,-0.99572715,-0.99592929,238212.80700874,1.99947294
29.90000000,-276.08913731,-0.99393899,-0.99398465,247741.31928909,1.99947117
30.00000000,-319.74481181,-0.95252668,-0.95241298,257650.97206062,1.99946940
