t,x,y,v,steer_deg,accel
6.82,29.8281,-3.20168,7.99116,-5.43732,0.0270889
6.84,29.8096,-3.36044,7.9917,-3.187,0.0254289
6.86,29.7904,-3.51913,7.99221,-7.86326,0.0238707
6.88,29.7704,-3.67772,7.99269,-4.92219,0.022408
6.9,29.7493,-3.83617,7.99313,-2.91794,0.0210349
6.92,29.7275,-3.99455,7.99356,-8.03247,0.0197459
6.94,29.7048,-4.15281,7.99395,-5.06493,0.018536
6.96,29.6811,-4.31092,7.99432,-3.03627,0.0174001
6.98,29.6567,-4.46893,7.99467,-8.45615,0.0163339
7,29.6313,-4.62681,7.995,-5.32276,0.015333
7.02,29.6048,-4.7845,7.9953,-3.18455,0.0143934
7.04,29.5776,-4.94208,7.99559,-8.91195,0.0135114
7.06,29.5495,-5.0995,7.99586,-5.5618,0.0126835
7.08,29.5201,-5.2567,7.99611,-3.28743,0.0119063
7.1,29.49,-5.41377,7.99635,-9.36915,0.0111767
7.12,29.4589,-5.57064,7.99658,-5.77264,0.0104918
7.14,29.4266,-5.72727,7.99679,-3.34806,0.00984893
7.16,29.3935,-5.88374,7.99698,-9.84479,0.00924541
7.18,29.3593,-6.03999,7.99717,-5.9716,0.00867888
7.2,29.3239,-6.19596,7.99734,-10.6846,0.00814706
7.22,29.287,-6.35161,7.9975,-6.5755,0.00764783
7.24,29.2488,-6.50693,7.99766,-3.81626,0.00717919
7.26,29.2098,-6.66205,7.9978,-9.91098,0.00673927
7.28,29.1696,-6.81688,7.99794,-6.06771,0.00632631
7.3,29.1282,-6.97138,7.99806,-3.48771,0.00593865
7.32,29.086,-7.12568,7.99818,-10.4113,0.000659177
7.34,29.0427,-7.27966,7.99819,-6.32923,0.000618784
7.36,28.998,-7.43326,7.99821,-11.5191,-0.0368076
7.38,28.9519,-7.58643,7.99747,-7.12398,-0.0345521
7.4,28.9043,-7.73913,7.99678,-4.17363,-0.0324349
7.42,28.8558,-7.89154,7.99613,-10.9959,-0.150673
7.44,28.8062,-8.04352,7.99312,-6.75479,-0.14144
7.46,28.7551,-8.19498,7.99029,-3.91263,-0.132773
7.48,28.7033,-8.34611,7.98763,-11.7937,-0.386177
7.5,28.6502,-8.4967,7.97991,-7.15488,-0.362513
7.52,28.5957,-8.64663,7.97266,-13.252,-0.756496
7.54,28.5397,-8.79575,7.95753,-8.12532,-0.710141
7.56,28.4821,-8.94397,7.94333,-4.71916,-0.666625
7.58,28.4236,-9.09154,7.92999,-12.8261,-1.16417
7.6,28.364,-9.23824,7.90671,-7.77754,-1.09283
7.62,28.3029,-9.38388,7.88485,-14.2689,-1.6225
7.64,28.2404,-9.52831,7.8524,-8.78684,-1.52308
7.66,28.1765,-9.67142,7.82194,-5.14765,-1.42975
7.68,28.1118,-9.81353,7.79335,-13.93,-1.95452
7.7,28.0459,-9.95439,7.75426,-8.5327,-1.83475
7.72,27.9789,-10.0938,7.71756,-4.94508,-1.72232
7.74,27.9111,-10.2321,7.68311,-15.2386,-2.22439
7.76,27.8424,-10.369,7.63863,-9.23502,-2.08809
7.78,27.7723,-10.5043,7.59687,-17.4995,-2.55994
7.8,27.7009,-10.6379,7.54567,-10.6755,-2.40307
7.82,27.6281,-10.7695,7.4976,-6.18859,-2.25582
7.84,27.5546,-10.8997,7.45249,-17.0558,-2.70657
7.86,27.4802,-11.0282,7.39836,-10.3313,-2.54071
7.88,27.4046,-11.1548,7.34754,-19.2792,-2.9602
7.9,27.3277,-11.2794,7.28834,-11.8155,-2.77881
7.92,27.2496,-11.4018,7.23276,-6.89988,-2.60853
7.94,27.171,-11.5226,7.18059,-18.7074,-3.00711
7.96,27.0915,-11.6415,7.12045,-11.4671,-2.82285
7.98,27.0111,-11.7583,7.06399,-21.2363,-3.18866
8,26.9295,-11.8728,7.00022,-13.2016,-2.99327
8.02,26.8468,-11.9851,6.94035,-7.88098,-2.80985
8.04,26.7637,-12.0956,6.88416,-20.5997,-3.15397
